Cell	nCount_RNA	nFeature_RNA	Cluster
SRR5960105	133308	4080	4
SRR5959224	6277	488	0
SRR5964959	18874	1520	0
SRR5961395	404225	3521	1
SRR5961439	464387	3487	1
SRR5967877	649627	4590	1
SRR5959312	13160	759	0
SRR5958768	90019	4749	5
SRR5960477	90354	3597	3
SRR5959765	311884	5631	10
SRR5959294	2730	361	0
SRR5958913	433809	4522	5
SRR5960837	275941	7221	11
SRR5957474	18493	3075	9
SRR5967473	943093	5786	1
SRR5959975	81122	5240	4
SRR5961171	1189493	6243	8
SRR5957355	181370	3601	9
SRR5959194	10562	677	0
SRR5958972	1276289	5295	5
SRR5968122	103183	1728	7
SRR5960054	64721	3924	4
SRR5965048	4088	753	0
SRR5960926	629740	5564	8
SRR5959297	65251	1359	0
SRR5957596	193152	4359	9
SRR5958997	5292	1664	5
SRR5961117	80276	5260	11
SRR5961052	141973	3859	11
SRR5960635	370943	5887	3
SRR5967569	663573	4697	1
SRR5960597	124773	3848	3
SRR5958975	642864	5667	5
SRR5958908	17582	1958	5
SRR5960019	307189	5629	10
SRR5957578	18194	2785	9
SRR5960216	26498	2024	4
SRR5960138	89088	4306	4
SRR5967680	467182	3935	1
SRR5968034	61943	1583	7
SRR5959867	387803	6335	10
SRR5958780	2720617	4547	5
SRR5967669	2171742	5616	1
SRR5961178	115553	4717	11
SRR5959991	651954	4323	4
SRR5959103	31215	831	0
SRR5967931	1173563	5940	1
SRR5961283	124429	4984	11
SRR5958770	1472839	5294	5
SRR5961104	125368	5251	11
SRR5957436	219668	3512	9
SRR5967803	625432	3000	1
SRR5959008	38861	3289	5
SRR5958709	218752	4759	5
SRR5967539	1156693	5854	1
SRR5965119	12158	1193	0
SRR5958779	457800	4586	5
SRR5960204	1261856	6621	10
SRR5967738	477462	3447	1
SRR5959154	24314	845	0
SRR5960856	97998	3504	8
SRR5959780	562866	6092	4
SRR5957600	91722	4008	9
SRR5959748	311674	4550	4
SRR5960131	455948	5763	10
SRR5958894	383517	3507	5
SRR5964703	15607	1324	0
SRR5959197	1396	277	0
SRR5967684	449697	2991	1
SRR5968199	520278	3759	7
SRR5960910	433403	6683	11
SRR5960599	1097105	5133	3
SRR5959262	18968	708	0
SRR5959935	229007	4821	4
SRR5959093	61252	1393	0
SRR5960111	178384	4625	4
SRR5959068	9071	657	0
SRR5960614	569965	6027	3
SRR5957327	75145	4824	9
SRR5967900	241203	2977	1
SRR5967744	372852	2948	1
