Cell	nCount_RNA	nFeature_RNA	Cluster
TM_RHC3600__Bcell__.7DEA7B	1301493.50800805	3525	4
TM_RHC3602__Bcell__.7DEA7B	1626772.99795405	3263	4
TM_RHC3606__NA__grey	703246.999381656	4574	0
TM_RHC3608__Epithelial__.2749FE	983022.36963962	4517	0
TM_RHC3609__Epithelial__.2749FE	1172007.73573494	5571	0
TM_RHC3617__Epithelial__.2749FE	944437.998836808	5483	0
TM_RHC3619__Epithelial__.2749FE	543907.001820724	4164	0
TM_RHC3621__Epithelial__.2749FE	2030423.05531556	5417	1
TM_RHC3628__Epithelial__.2749FE	283503.950867415	3049	0
TM_RHC3629__Epithelial__.2749FE	2568340.12016365	4881	1
TM_RHC3633__Bcell__.7DEA7B	1387446.20465521	2511	4
TM_RHC3635__Epithelial__.2749FE	1312261.90745182	4595	0
TM_RHC3640__Epithelial__.2749FE	1002537.99463508	4607	0
TM_RHC3641__Epithelial__.2749FE	598206.00362974	4210	1
TM_RHC3836__Epithelial__.2749FE	1897824.9477754	4426	1
TM_RHC3839__Epithelial__.2749FE	1967673.95082298	5969	1
TM_RHC3840__Epithelial__.2749FE	1953834.84014234	4187	1
TM_RHC3843__Fibroblast__.FB4E09	1642120.02726808	3241	5
TM_RHC3845__Epithelial__.2749FE	874042.788187312	3769	0
TM_RHC3846__Epithelial__.2749FE	194485.001596589	2425	0
TM_RHC3847__Fibroblast__.FB4E09	1134503.9691461	4839	5
TM_RHC3848__Epithelial__.2749FE	1372917.98841535	4647	1
TM_RHC3851__Fibroblast__.FB4E09	322067.533624426	4628	5
TM_RHC3854__Endothelial__.908DE5	211816.998801612	3372	0
TM_RHC3855__Epithelial__.2749FE	782637.00886571	3493	1
TM_RHC3856__Epithelial__.2749FE	1040542.70184851	4341	1
TM_RHC3862__Epithelial__.2749FE	770761.767914224	3545	0
TM_RHC3863__Epithelial__.2749FE	999730.35660586	4280	1
TM_RHC3864__Epithelial__.2749FE	405429.004666827	2291	0
TM_RHC3866__Macrophage__.FFFF55	1213650.0058948	2850	3
TM_RHC3868__Epithelial__.2749FE	1336194.617386	4389	1
TM_RHC3869__Epithelial__.2749FE	892351.000978981	4412	0
TM_RHC3870__Epithelial__.2749FE	1199608.99820309	4908	0
TM_RHC3871__Epithelial__.2749FE	1462062.94132689	6064	1
TM_RHC3874__Epithelial__.2749FE	966026.603031559	3651	1
TM_RHC3875__Epithelial__.2749FE	1342924.20432773	3044	0
TM_RHC3876__Epithelial__.2749FE	355740.997917991	2966	0
TM_RHC3879__Epithelial__.2749FE	3184604.27336374	5376	1
TM_RHC3881__Epithelial__.2749FE	1209427.99162974	4217	0
TM_RHC3884__Epithelial__.2749FE	242637.001692957	3974	1
TM_RHC3885__Fibroblast__.FB4E09	2480345.78870299	4613	5
TM_RHC3886__Macrophage__.FFFF55	498633.994720134	1467	3
TM_RHC3890__Fibroblast__.FB4E09	1063891.99717333	4525	5
TM_RHC3894__Endothelial__.908DE5	1818472.32774777	4811	5
TM_RHC3895__Fibroblast__.FB4E09	1350202.99400773	2371	5
TM_RHC3897__Epithelial__.2749FE	884377.997882319	7330	1
TM_RHC3898__Epithelial__.2749FE	699038.999279271	3472	1
TM_RHC3900__Epithelial__.2749FE	1106444.73235898	4886	0
TM_RHC3902__Epithelial__.2749FE	2630386.06714269	5541	1
TM_RHC3915__Epithelial__.2749FE	1672044.29794037	6721	1
TM_RHC3919__Epithelial__.2749FE	1186040.00139945	3186	0
TM_RHC3922__Epithelial__.2749FE	1248837.00097514	6435	1
TM_RHC3923__Epithelial__.2749FE	1105941.4897522	3673	1
TM_RHC3925__Epithelial__.2749FE	2748234.18666994	8340	1
TM_RHC3901__Epithelial__.2749FE	3200018.99948713	4475	1
TM_RHC3903__Epithelial__.2749FE	2405172.38438658	3524	1
TM_RHC3904__Epithelial__.2749FE	562201.996583465	2170	0
TM_RHC3905__Epithelial__.2749FE	1207155.04248576	4362	0
TM_RHC3907__Macrophage__.FFFF55	457567.001739685	2222	3
TM_RHC3909__Macrophage__.FFFF55	305062.367422368	3234	3
TM_RHC3910__Epithelial__.2749FE	2174301.44044558	3007	1
TM_RHC3912__Bcell__.7DEA7B	785131.019425293	2509	4
TM_RHC3914__Epithelial__.2749FE	1461438.99301435	5156	1
TM_RHC3920__Epithelial__.2749FE	207582.000579001	1677	0
