Cell	nCount_RNA	nFeature_RNA	Cluster
SRR7666924	426054	1587	0
SRR7667694	16300	325	1
SRR7666912	202213	2260	0
SRR7666770	2539926	7056	2
SRR7666730	4306512	11084	2
SRR7666489	255899	930	1
SRR7667243	1111410	3103	5
SRR7666544	966894	4817	5
SRR7667166	690427	1994	3
SRR7666652	1666832	7939	0
SRR7666587	780024	2303	5
SRR7667105	530328	2963	3
SRR7667521	1696876	6430	5
SRR7667097	1409876	3550	6
SRR7667368	1096613	6031	2
SRR7666643	1294271	6060	2
SRR7667359	1822350	7497	2
SRR7667182	805842	8433	4
SRR7666759	3276319	9651	2
SRR7667233	307665	1290	8
SRR7666989	566	376	0
SRR7667476	459183	791	6
SRR7666518	1088673	3265	7
SRR7667181	821939	5768	11
SRR7667279	1245654	6668	2
SRR7666397	8011	243	1
SRR7666351	1864366	2707	9
SRR7666577	534421	3352	5
SRR7666384	1740865	2247	6
SRR7666681	1282527	6802	2
SRR7667016	1661108	2299	0
SRR7666813	507074	2576	3
SRR7667162	705631	1885	3
SRR7667088	649502	2220	3
SRR7667074	760001	1388	0
SRR7667219	1054845	4766	10
SRR7666728	5117141	11020	2
SRR7667221	671591	5937	4
SRR7667425	1298929	2814	7
SRR7666964	437535	486	6
SRR7666799	634489	2887	3
SRR7666515	191872	4138	4
SRR7667226	742156	3135	4
SRR7666638	21946	211	1
SRR7667333	784779	1745	1
SRR7667207	1022640	4823	4
SRR7666863	640879	5282	0
SRR7666934	23879	778	0
SRR7666495	1060082	3941	4
SRR7666762	3221543	9851	2
SRR7666435	24109	271	1
SRR7666816	640989	3449	3
SRR7666793	388368	4785	5
SRR7666661	1144121	4815	2
SRR7667269	397569	977	1
SRR7666394	11239	223	1
SRR7667669	260274	1185	1
SRR7667524	1500418	2193	5
SRR7666621	1118870	5392	2
SRR7666604	612415	3568	7
SRR7667148	606566	1821	3
SRR7666918	498064	2011	0
SRR7667520	1151601	2984	5
SRR7667282	395873	1189	1
SRR7667465	1709337	7210	2
SRR7667316	736890	2714	2
SRR7666677	212400	1015	1
SRR7667028	990110	1866	0
SRR7667107	727899	2230	3
SRR7666624	560922	4700	2
SRR7666627	520646	3640	10
SRR7666522	314684	941	4
SRR7667441	189635	1332	1
SRR7666557	455665	3038	5
SRR7667879	1758167	10890	2
SRR7666859	421418	3643	0
SRR7666656	1209801	6232	2
SRR7666628	636357	4777	4
SRR7667215	597032	3236	7
SRR7667284	1158797	6935	2
SRR7667140	589482	1841	3
SRR7666528	1485936	5036	4
SRR7666754	1152220	3188	5
SRR7667281	1353244	4275	0
SRR7666944	405296	514	6
SRR7667198	995038	7790	4
SRR7666496	41265	1494	7
SRR7667186	332174	5371	4
SRR7667452	3363	547	6
SRR7667384	1186983	5757	2
SRR7667291	815420	1698	1
SRR7667360	1583386	5309	2
SRR7667377	446326	3908	2
SRR7666517	1383947	5222	4
SRR7667098	513062	1312	3
SRR7666919	596155	3558	0
SRR7666701	1634647	4010	5
SRR7666567	743135	4920	4
SRR7667534	1578823	18171	6
SRR7667460	311120	7446	2
SRR7666581	650449	4040	7
SRR7666376	323969	1764	6
SRR7667082	647745	2824	8
SRR7666766	3783818	8798	2
SRR7666692	2056779	6784	2
SRR7667251	702207	5711	4
SRR7667127	709367	2560	3
SRR7666658	1048117	3680	2
SRR7666606	716120	8011	4
SRR7667246	738296	2768	4
SRR7666372	1872016	2378	9
SRR7666850	422865	2561	3
SRR7666367	1247887	1749	9
SRR7666941	1274594	934	0
SRR7666553	1066576	3976	4
SRR7666709	1312578	4310	3
SRR7666419	12045	574	1
SRR7667328	149141	1913	5
SRR7666782	800962	3370	3
SRR7667225	809004	4570	10
SRR7666794	463911	2746	3
SRR7667205	834640	3656	6
SRR7666968	1430245	1207	0
SRR7666775	924306	3160	3
SRR7667161	1542842	6508	6
SRR7667438	1360	346	1
SRR7667265	573856	1768	1
SRR7666946	1040130	1118	0
SRR7667045	2242111	2858	0
SRR7667237	905130	7093	4
SRR7667217	788767	4603	11
SRR7666672	1360460	6153	2
SRR7666834	1021627	3206	11
SRR7666943	4985994	3842	0
SRR7667248	442684	2088	5
SRR7666586	737674	5963	2
SRR7666634	1174247	6406	2
SRR7667003	1320462	3767	0
SRR7667066	174023	423	0
SRR7666448	13447	230	1
SRR7667023	1226909	2584	0
SRR7666562	504431	2008	8
SRR7667467	2537	266	1
SRR7667442	369965	1655	1
SRR7666523	988390	3372	4
SRR7667119	910544	2555	3
SRR7667253	1056637	4487	4
SRR7666469	420072	3329	5
SRR7667405	917846	2836	1
SRR7667446	786868	3478	2
SRR7666835	846969	4051	3
SRR7667259	953880	3831	10
SRR7666929	733275	2859	0
SRR7666773	2534735	9473	2
SRR7666424	32684	214	1
SRR7667754	240	205	1
SRR7666703	1497253	7847	2
SRR7666602	463675	4806	2
SRR7666573	280682	3815	4
SRR7667236	601714	2403	11
SRR7667317	351786	983	1
SRR7667165	992851	1999	3
SRR7667469	3719	683	1
SRR7666483	998057	3174	7
SRR7667057	522153	1044	0
SRR7666539	925520	4957	2
SRR7666758	598716	3524	2
SRR7666777	1372	871	1
SRR7667716	2826	884	3
SRR7666746	770329	5138	2
SRR7667570	330	255	1
SRR7667518	1343668	3554	2
SRR7666436	29908	363	1
SRR7667750	282	234	1
SRR7666719	1578380	4510	6
SRR7666927	158770	955	0
SRR7666830	492093	562	1
SRR7667530	1659561	2817	2
SRR7667239	935283	4194	10
SRR7666509	735073	1959	4
SRR7667379	534924	1480	1
SRR7667683	3549	275	1
SRR7667564	19766	232	1
SRR7667126	578091	2696	3
SRR7666494	1284137	5763	4
SRR7667489	1035260	5314	2
SRR7666467	1017346	2775	4
SRR7667421	545110	2826	8
SRR7666967	1300598	1123	0
SRR7667374	2388466	3769	2
SRR7667067	1157642	1840	0
SRR7667661	369082	1821	0
SRR7666612	652266	3471	4
SRR7666956	2582737	2325	0
SRR7666825	582570	2698	8
SRR7666876	263841	2283	0
SRR7667250	1007827	4053	10
SRR7666580	631175	4200	4
SRR7666519	1463217	5398	2
SRR7667018	2489364	4473	0
SRR7667136	928416	3159	8
SRR7666965	3849646	3235	0
SRR7667533	17723	659	6
SRR7667353	542551	2343	1
SRR7667480	1265876	4231	6
SRR7667135	361902	1483	3
SRR7666667	549146	1628	5
SRR7667449	1164662	7624	2
SRR7666805	1306451	5484	5
SRR7666979	744279	856	0
SRR7667242	328670	1551	8
SRR7666925	509185	2797	0
SRR7666761	2693649	9726	2
SRR7666610	743581	5189	2
SRR7667077	696331	1323	3
SRR7666639	628	292	1
SRR7666440	3187	213	1
SRR7666381	2351090	2854	6
SRR7666691	932246	2861	5
SRR7666821	1671642	6601	10
SRR7666829	1197781	5573	4
SRR7667101	1137606	2558	3
SRR7666853	501889	4368	0
SRR7666582	661583	4806	5
SRR7666714	1948384	5206	6
SRR7666391	33486	294	1
SRR7667102	839390	2503	3
SRR7667275	589999	1329	1
SRR7667110	570533	2457	3
SRR7666529	914316	2166	5
SRR7666401	19264	549	1
SRR7666972	3352780	3981	0
SRR7666389	2244233	3066	2
SRR7667517	1059088	3503	6
SRR7667552	21047	253	1
SRR7666954	3280857	2573	0
SRR7666548	571484	4111	7
SRR7667004	2817639	4636	0
SRR7666476	1268178	3971	7
SRR7666498	844519	2712	2
SRR7666444	1861	334	1
SRR7666674	1409644	6777	2
SRR7666959	200872	757	0
SRR7667308	951334	4906	2
SRR7666891	388644	2639	0
SRR7667400	2062825	3741	2
SRR7666886	25256	281	6
SRR7667017	2043521	2831	0
SRR7667678	59303	201	1
SRR7667875	36989	586	1
SRR7667485	1459629	9222	2
SRR7667431	1774841	3337	3
SRR7667129	1020523	4110	6
SRR7666615	646668	5242	4
SRR7667169	1841855	2625	0
SRR7667117	733111	1760	3
SRR7667138	689750	1936	3
SRR7667432	2561322	3985	3
SRR7667352	762902	2190	0
SRR7666588	923645	6011	4
SRR7667873	1678395	3884	2
SRR7666654	918765	3717	2
SRR7667120	993215	2587	3
SRR7666763	2050020	7054	2
SRR7666670	44810	511	1
SRR7667212	834180	6788	4
SRR7666911	418065	3549	0
SRR7667398	2968900	4271	2
SRR7666756	1984899	3381	5
SRR7666710	938204	3616	5
SRR7666991	144276	655	1
SRR7666867	449714	5363	0
SRR7666939	566732	556	0
SRR7666995	196066	599	1
SRR7667294	206548	629	1
SRR7666713	2685741	5455	6
SRR7667463	1543457	9505	2
SRR7666375	2831357	3149	6
SRR7667332	872609	2178	2
SRR7666447	12711	316	1
SRR7667682	18724	288	1
SRR7666501	790138	3497	7
SRR7667312	1505084	2487	1
SRR7666640	458173	1737	1
SRR7666473	86243	5244	4
SRR7666566	529117	5977	4
SRR7667527	578751	1066	6
SRR7667010	231048	854	0
SRR7666644	547809	2614	2
SRR7667146	753116	2847	3
SRR7667417	690773	1384	1
SRR7666647	1601848	6143	2
SRR7666503	716143	2263	7
SRR7667030	1293701	2687	0
SRR7666363	1446813	1993	9
SRR7666505	907282	2653	7
SRR7667306	308201	2367	2
SRR7666981	3711460	2786	0
SRR7666484	633801	2120	7
SRR7667153	582272	1595	3
SRR7666570	704670	5492	4
SRR7666704	1300585	16445	2
SRR7666514	1059480	2487	5
SRR7666950	2469910	1661	0
SRR7666741	2397788	6685	2
SRR7666900	441789	3805	0
SRR7667270	1179061	4079	10
SRR7666708	2492854	10919	2
SRR7666976	2221	1025	0
SRR7667006	2878316	5349	0
SRR7666969	4264507	1643	0
SRR7666385	959385	1406	6
SRR7667349	225748	1161	1
SRR7666578	622553	5010	2
SRR7666694	314427	1538	1
SRR7666554	719228	4204	4
SRR7666732	3997622	12335	2
SRR7667114	729335	2396	3
SRR7666675	232897	4616	2
SRR7666485	901686	2578	7
SRR7666933	158408	837	0
SRR7667195	622883	4798	10
SRR7666840	995138	3545	11
SRR7667072	1405087	2153	0
SRR7667190	895145	7198	4
SRR7667470	1332795	3744	6
SRR7666688	1445362	3882	2
SRR7666603	766467	5934	2
SRR7667394	70574	456	1
SRR7666700	1354405	4479	2
SRR7666409	53228	13632	0
SRR7667069	422075	837	0
SRR7667174	1645703	2426	11
SRR7666486	842781	2221	5
SRR7666613	989003	4301	4
SRR7666760	3386295	10382	2
SRR7666535	453184	1339	7
SRR7667209	171131	3108	5
SRR7666818	943143	3152	3
SRR7667295	287668	641	1
SRR7667698	2135699	3641	0
SRR7667035	3291163	6000	0
SRR7666774	1075926	3367	3
SRR7666543	890633	2950	7
SRR7667562	14389	202	1
SRR7666764	3705355	6864	2
SRR7666365	2203805	5615	9
SRR7666641	447943	4604	2
SRR7667264	870853	3017	5
SRR7667113	865274	2306	3
SRR7666568	677106	4952	2
SRR7666355	1760532	2299	9
SRR7667106	874355	2923	3
SRR7667567	820	431	7
SRR7666718	3261106	7966	2
SRR7666705	3067425	5680	6
SRR7667539	22487	208	1
SRR7667416	574156	3776	8
SRR7667670	54092	274	1
SRR7667235	954776	3348	5
SRR7666585	25300	239	1
SRR7666960	238605	496	1
SRR7666862	393572	4655	0
SRR7667179	1013422	5207	4
SRR7667252	348403	1461	1
SRR7666693	1620306	8197	0
SRR7667232	543376	2744	4
SRR7666541	974985	5789	4
SRR7666750	2772012	9959	2
SRR7666651	949538	4298	2
SRR7666552	734331	3804	7
SRR7666456	633840	1855	5
SRR7667157	1171932	3650	6
SRR7667506	1436547	2964	6
SRR7667276	897718	14482	5
SRR7667322	143015	1844	1
SRR7666369	1294929	1542	9
SRR7666653	393633	2577	1
SRR7667458	1039172	5609	2
SRR7666350	1602576	2139	6
SRR7666608	660663	3025	2
SRR7666673	1483594	7823	2
SRR7666999	1265164	2433	0
SRR7667128	788601	1281	6
SRR7666789	1063604	4414	3
SRR7667124	691385	2420	3
SRR7666477	901887	2555	7
SRR7667334	2070083	3989	10
SRR7666605	474453	3639	7
SRR7667156	765272	2417	8
SRR7666583	774232	6725	4
SRR7667056	1750918	2511	0
SRR7666917	349329	1940	0
SRR7667064	219087	570	0
SRR7666622	747770	3067	4
SRR7667495	674443	2357	6
SRR7666655	524198	2261	2
SRR7666594	613839	3267	5
SRR7666595	717937	5698	2
SRR7667285	1062755	5291	2
SRR7666932	326237	1417	0
SRR7667522	145588	582	6
SRR7666454	24653	414	1
SRR7666982	300937	493	0
SRR7667397	13807	280	1
SRR7667329	437262	2388	7
SRR7666845	629311	3341	3
SRR7667211	293704	1124	8
SRR7667390	1446037	6577	2
SRR7667444	926176	3019	2
SRR7667091	736952	2542	3
SRR7667500	4003	1222	1
SRR7667692	1557544	1232	0
